Genres,Average_Playtime_Forever,Average_Positive_Review_Rate,Total_Estimated_Players,Total_Revenue,Number_of_Games
action,89.7701820860962,0.5693,4749815000.0,63895634100.0,38004
adventure,84.13408989515949,0.5624,2765970000.0,41376168200.0,35864
rpg,150.5095755538212,0.5387,1877345000.0,35245064550.0,16657
indie,59.24032185547511,0.5677,3273505000.0,32416129300.0,64501
strategy,138.93902027027028,0.556,1449030000.0,19285883200.0,17760
simulation,130.05379406706794,0.5177,1328075000.0,18024612200.0,18608
casual,47.18935076829144,0.5205,1356245000.0,8449390250.0,39308
massively multiplayer,286.1383154417837,0.4346,921485000.0,7725984050.0,2422
early access,64.99942134413492,0.523,529805000.0,7590048800.0,12097
sports,135.2454246832473,0.5361,297595000.0,2977050550.0,4262
racing,89.23693279724296,0.53,196005000.0,2641263350.0,3482
utilities,741.694054054054,0.5577,66520000.0,348728750.0,925
design & illustration,580.8420074349442,0.6214,52770000.0,324723850.0,538
animation & modeling,381.2533936651584,0.5716,52485000.0,289951250.0,442
photo editing,141.00666666666666,0.6105,38825000.0,184266500.0,150
video production,399.2492113564669,0.5078,13435000.0,137693000.0,317
audio production,969.5091743119266,0.5972,6255000.0,133456100.0,218
free to play,141.0514375834041,0.3106,1751925000.0,104974900.0,8243
education,275.5226730310263,0.5427,6680000.0,88417750.0,419
game development,241.93050193050192,0.5448,5495000.0,74022650.0,259
web publishing,940.8347826086956,0.5966,5280000.0,71610700.0,115
violent,50.53320683111954,0.5697,16025000.0,65525850.0,527
software training,535.4724770642201,0.5893,6090000.0,60578350.0,218
gore,43.51768488745981,0.5802,10840000.0,40612650.0,311
nudity,91.90833333333333,0.621,3575000.0,19043150.0,120
sexual content,47.93518518518518,0.6522,2100000.0,12739900.0,108
accounting,73.26923076923077,0.5421,545000.0,5119500.0,26
